Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
7-January-2020,12.80,12.80,12.27,12.46,12.470492783329063113,23418,70,292034.00,13469,57.52,0.53,-0.34
6-January-2020,12.90,12.90,12.27,12.46,12.472325423728813559,36875,106,459917.00,22636,61.39,0.63,-0.44
3-January-2020,12.88,13.03,12.84,12.87,12.910983653570404359,17435,65,225103.00,10324,59.21,0.19,-0.01
2-January-2020,12.88,13.18,12.88,12.92,12.984500745156482861,40260,85,522756.00,26756,66.46,0.30,0.04
1-January-2020,12.87,13.02,12.72,12.91,12.881330432367373391,43204,67,556525.00,20570,47.61,0.30,0.04
31-December-2019,12.89,13.22,12.85,12.96,13.020805473487793500,32155,88,418684.00,17714,55.09,0.37,0.07
30-December-2019,13.85,13.85,12.82,13.02,12.957671698759511634,40871,109,529593.00,22918,56.07,1.03,-0.83
27-December-2019,13.90,13.93,12.72,13.18,13.354506364907198883,376989,653,5034502.00,177850,47.18,1.21,-0.72
26-December-2019,12.00,14.16,11.78,12.78,12.593569327518003854,69013,250,869120.00,49254,71.37,2.38,0.78
24-December-2019,11.75,11.85,11.71,11.80,11.796937624499004007,41667,75,491543.00,33667,80.80,0.14,0.05
23-December-2019,11.84,11.94,11.60,11.68,11.751682228365760784,38342,75,450583.00,26206,68.35,0.34,-0.16
20-December-2019,12.00,12.29,11.74,11.81,11.923213445246313147,101984,195,1215977.00,45896,45.00,0.55,-0.19
19-December-2019,11.67,11.71,11.51,11.59,11.613240418118466898,10906,70,126654.00,6167,56.55,0.20,-0.08
18-December-2019,11.67,11.71,11.55,11.67,11.668216550154446431,61510,84,717712.00,52703,85.68,0.16,0.00
17-December-2019,11.65,11.81,11.59,11.65,11.695407592604776630,30398,99,355517.00,15696,51.63,0.22,0.00
16-December-2019,12.00,12.00,11.65,11.70,11.774963985139131094,13189,68,155300.00,9603,72.81,0.35,-0.30
13-December-2019,11.85,11.91,11.70,11.76,11.785447626387918784,41519,107,489320.00,16973,40.88,0.21,-0.09
12-December-2019,11.76,11.85,11.54,11.63,11.669791276090488688,8001,69,93370.00,3307,41.33,0.31,-0.13
11-December-2019,11.79,11.88,11.53,11.62,11.717021023167172890,33582,93,393481.00,25159,74.92,0.35,-0.17
10-December-2019,11.93,12.03,11.79,11.83,11.910955993930197268,16475,105,196233.00,6703,40.69,0.24,-0.10
