Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
7-January-2020,89.00,89.00,73.65,77.80,77.488794023479188900,3748,76,290428.00,2230,59.50,15.35,-11.20
6-January-2020,85.00,85.00,73.30,74.95,76.040824915824915824,4752,70,361346.00,3972,83.59,11.70,-10.05
3-January-2020,82.80,84.00,79.00,81.15,81.629807692307692307,2080,51,169790.00,1753,84.28,5.00,-1.65
2-January-2020,85.00,85.00,72.05,82.70,82.432491170877478945,3681,66,303434.00,2436,66.18,12.95,-2.30
1-January-2020,76.00,82.50,72.00,79.05,78.147030651340996168,2088,30,163171.00,2006,96.07,10.50,3.05
31-December-2019,70.10,81.95,70.10,75.30,74.638482632541133455,4376,61,326618.00,3600,82.27,11.85,5.20
30-December-2019,82.90,82.90,72.50,72.60,72.928295642581356867,1813,14,132219.00,1562,86.16,10.40,-10.30
27-December-2019,73.00,73.00,70.00,72.40,71.007705479452054794,7008,43,497622.00,6202,88.50,3.00,-0.60
26-December-2019,73.90,74.00,69.10,71.95,71.193490860454748105,6729,62,479061.00,5644,83.88,4.90,-1.95
24-December-2019,71.85,73.80,67.00,72.15,72.412897614314115308,8048,59,582779.00,6304,78.33,6.80,0.30
23-December-2019,68.95,69.90,68.00,68.05,68.684647302904564315,241,12,16553.00,126,52.28,1.90,-0.90
20-December-2019,67.50,74.70,62.15,69.95,68.642832529290144727,5804,89,398403.00,3997,68.87,12.55,2.45
19-December-2019,69.00,69.00,62.00,65.35,65.464947165094875582,8801,32,576157.00,8217,93.36,7.00,-3.65
18-December-2019,70.50,70.50,64.00,65.90,66.673435964624959056,6106,25,407108.00,5868,96.10,6.50,-4.60
17-December-2019,72.85,72.85,65.00,65.75,68.807890222984562607,2332,31,160460.00,1398,59.95,7.85,-7.10
16-December-2019,79.00,79.00,64.00,65.80,65.098906644238856181,5945,34,387013.00,5581,93.88,15.00,-13.20
13-December-2019,67.95,70.00,67.95,68.00,68.061830173124484748,1213,19,82559.00,1161,95.71,2.05,0.05
12-December-2019,71.00,71.00,66.50,67.95,66.587009119672436255,5373,23,357772.00,5283,98.32,4.50,-3.05
11-December-2019,71.00,71.00,66.00,67.95,67.220464022238853843,9353,31,628713.00,9211,98.48,5.00,-3.05
10-December-2019,61.00,69.85,61.00,66.00,64.845639943741209563,2844,27,184421.00,2646,93.04,8.85,5.00
9-December-2019,65.00,65.00,64.95,64.95,64.998503740648379052,2005,6,130322.00,2005,100.00,0.05,-0.05
6-December-2019,63.20,64.95,63.20,63.20,63.288888888888888888,630,8,39872.00,600,95.24,1.75,0.00
5-December-2019,64.05,67.45,63.10,64.35,64.502853067047075606,1402,42,90433.00,1035,73.82,4.35,0.30
4-December-2019,67.00,67.45,62.95,66.95,64.659356725146198830,684,24,44227.00,453,66.23,4.50,-0.05
3-December-2019,66.00,68.00,66.00,67.85,67.000000000000000000,164,17,10988.00,92,56.10,2.00,1.85
2-December-2019,69.95,69.95,66.00,67.25,67.305747126436781609,435,15,29278.00,320,73.56,3.95,-2.70
29-November-2019,66.00,68.00,66.00,67.00,67.171428571428571428,210,9,14106.00,50,23.81,2.00,1.00
28-November-2019,69.85,70.00,68.30,70.00,69.894197952218430034,586,11,40958.00,554,94.54,1.70,0.15
27-November-2019,69.85,69.90,68.00,69.15,69.836842105263157894,760,11,53076.00,723,95.13,1.90,-0.70
26-November-2019,71.95,72.00,68.10,69.85,68.734453180843459614,2798,42,192319.00,2380,85.06,3.90,-2.10
25-November-2019,56.55,71.95,56.55,69.50,69.661222339304531085,1898,39,132217.00,1544,81.35,15.40,12.95
22-November-2019,58.10,70.00,58.10,69.50,67.591700819672131147,1952,52,131939.00,1294,66.29,11.90,11.40
21-November-2019,69.95,70.00,63.35,69.65,68.461977186311787072,526,28,36011.00,302,57.41,6.65,-0.30
20-November-2019,69.95,70.00,67.40,70.00,68.710730948678071539,643,27,44181.00,470,73.09,2.60,0.05
19-November-2019,70.00,72.00,68.35,70.65,70.533333333333333333,2715,36,191498.00,2239,82.47,3.65,0.65
18-November-2019,70.90,71.00,69.85,70.75,70.785700019972039145,5007,30,354424.00,4786,95.59,1.15,-0.15
15-November-2019,70.90,70.95,68.95,70.10,70.031853896793374389,4709,31,329780.00,4693,99.66,2.00,-0.80
14-November-2019,69.95,71.00,68.95,69.90,69.945286195286195286,1188,27,83095.00,774,65.15,2.05,-0.05
13-November-2019,68.95,71.05,68.95,70.00,69.727550397067806963,1637,26,114144.00,1149,70.19,2.10,1.05
11-November-2019,70.00,71.95,66.05,69.00,68.600785340314136125,3056,26,209644.00,2791,91.33,5.90,-1.00
8-November-2019,69.75,69.80,65.00,67.05,66.930342384887839433,847,15,56690.00,740,87.37,4.80,-2.70
7-November-2019,70.00,70.00,57.50,67.00,66.957536342769701606,2614,47,175027.00,2167,82.90,12.50,-3.00
6-November-2019,74.45,74.45,68.10,69.25,72.728908436625349860,2501,34,181895.00,2047,81.85,6.35,-5.20
5-November-2019,60.00,75.00,60.00,72.00,73.106661217817736003,2447,28,178892.00,2313,94.52,15.00,12.00
4-November-2019,73.50,75.00,66.00,72.25,73.599700149925037481,6003,76,441819.00,5319,88.61,9.00,-1.25
1-November-2019,71.00,78.00,62.30,73.00,72.117072518062617072,7474,117,539003.00,6567,87.86,15.70,2.00
31-October-2019,66.30,72.90,62.35,68.90,68.309365431316650828,18942,181,1293916.00,10848,57.27,10.55,2.60
30-October-2019,57.00,61.25,57.00,60.80,59.582489878542510121,1976,41,117735.00,1626,82.29,4.25,3.80
29-October-2019,59.00,60.50,55.00,57.40,57.581861718048488476,3341,35,192381.00,2965,88.75,5.50,-1.60
27-October-2019,63.95,63.95,57.00,60.30,60.322191011235955056,7120,41,429494.00,6736,94.61,6.95,-3.65
25-October-2019,51.00,55.00,50.00,53.40,51.841243862520458265,611,15,31675.00,510,83.47,5.00,2.40
24-October-2019,54.00,54.00,52.00,53.00,52.769230769230769230,65,5,3430.00,35,53.85,2.00,-1.00
23-October-2019,54.45,54.45,51.00,52.00,52.020000000000000000,50,3,2601.00,50,100.00,3.45,-2.45
22-October-2019,52.10,52.10,52.00,52.00,52.051724137931034482,580,7,30190.00,530,91.38,0.10,-0.10
18-October-2019,53.00,53.00,51.00,53.00,51.670103092783505154,776,14,40096.00,696,89.69,2.00,0.00
17-October-2019,50.00,53.50,50.00,51.00,52.512875536480686695,932,16,48942.00,870,93.35,3.50,1.00
16-October-2019,51.00,51.00,50.00,50.75,50.929775280898876404,356,8,18131.00,331,92.98,1.00,-0.25
15-October-2019,51.95,54.00,50.40,51.20,52.804618117229129662,563,23,29729.00,312,55.42,3.60,-0.75
14-October-2019,53.50,54.00,49.65,50.50,52.708333333333333333,504,16,26565.00,352,69.84,4.35,-3.00
11-October-2019,55.00,55.00,49.90,51.70,52.130509939498703543,1157,23,60315.00,1105,95.51,5.10,-3.30
10-October-2019,52.00,54.00,52.00,54.00,53.083116883116883116,385,7,20437.00,385,100.00,2.00,2.00
9-October-2019,49.25,52.00,49.25,52.00,51.705263157894736842,190,5,9824.00,170,89.47,2.75,2.75
7-October-2019,48.45,57.10,48.45,52.35,54.216933015980958857,2941,64,159452.00,2454,83.44,8.65,3.90
4-October-2019,47.70,52.95,47.70,52.80,51.986478180700676090,1627,38,84582.00,1140,70.07,5.25,5.10
3-October-2019,51.30,54.55,45.15,46.60,47.700791065611912517,12894,162,615054.00,8739,67.78,9.40,-4.70
1-October-2019,56.90,58.00,54.50,56.40,56.510290556900726392,1652,16,93355.00,1424,86.20,3.50,-0.50
30-September-2019,60.90,60.90,57.10,58.90,58.942209546682677874,6662,67,392673.00,5908,88.68,3.80,-2.00
27-September-2019,59.00,59.00,56.00,58.85,58.103011093502377179,631,17,36663.00,602,95.40,3.00,-0.15
26-September-2019,61.00,61.20,57.50,58.60,60.876346604215456674,2135,23,129971.00,1812,84.87,3.70,-2.40
25-September-2019,56.80,62.00,56.80,60.45,59.989450906140113605,7394,54,443562.00,6480,87.64,5.20,3.65
24-September-2019,58.00,61.70,57.00,58.60,59.273358248798718633,1873,37,111019.00,1674,89.38,4.70,0.60
23-September-2019,55.50,62.00,53.00,57.05,57.022541373406886056,10514,102,599535.00,9363,89.05,9.00,1.55
20-September-2019,52.00,55.80,52.00,55.00,54.741858703884020339,9243,79,505979.00,7731,83.64,3.80,3.00
19-September-2019,49.00,52.20,48.90,51.30,51.244186046511627906,1376,35,70512.00,1351,98.18,3.30,2.30
18-September-2019,47.00,48.70,45.00,48.10,46.458776595744680851,1504,15,69874.00,1474,98.01,3.70,1.10
17-September-2019,48.85,48.85,44.00,45.00,44.944369063772048846,1474,11,66248.00,1424,96.61,4.85,-3.85
16-September-2019,44.85,45.00,43.30,45.00,44.910207214121258633,1303,17,58518.00,1098,84.27,1.70,0.15
13-September-2019,47.70,47.70,42.00,43.00,42.807500000000000000,1200,24,51369.00,762,63.50,5.70,-4.70
