Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
7-January-2020,1.09,1.09,1.09,1.09,1.090000000000000000,3000,3,3270.00,3000,100.00,0.00,0.00
6-January-2020,1.05,1.05,1.05,1.05,1.049462365591397849,465,3,488.00,465,100.00,0.00,0.00
2-January-2020,1.00,1.00,1.00,1.00,1.000000000000000000,10,1,10.00,10,100.00,0.00,0.00
1-January-2020,1.00,1.00,1.00,1.00,1.000000000000000000,325,5,325.00,325,100.00,0.00,0.00
27-December-2019,1.01,1.01,1.01,1.01,1.010000000000000000,700,1,707.00,700,100.00,0.00,0.00
26-December-2019,0.98,1.01,0.98,1.01,1.008541666666666666,4800,5,4841.00,4800,100.00,0.03,0.03
24-December-2019,1.08,1.08,1.03,1.03,1.054455445544554455,202,3,213.00,202,100.00,0.05,-0.05
23-December-2019,1.05,1.08,1.05,1.08,1.065297525013164823,1899,3,2023.00,1899,100.00,0.03,0.03
20-December-2019,1.09,1.09,1.09,1.09,1.090000000000000000,400,2,436.00,400,100.00,0.00,0.00
19-December-2019,1.09,1.14,1.09,1.14,1.098842232590288577,5787,9,6359.00,4753,82.13,0.05,0.05
18-December-2019,1.14,1.14,1.14,1.14,1.140000000000000000,2000,9,2280.00,2000,100.00,0.00,0.00
17-December-2019,1.19,1.19,1.19,1.19,1.189411764705882352,850,3,1011.00,850,100.00,0.00,0.00
16-December-2019,1.25,1.25,1.25,1.25,1.250000000000000000,2500,2,3125.00,2500,100.00,0.00,0.00
12-December-2019,1.20,1.20,1.20,1.20,1.200000000000000000,120,1,144.00,120,100.00,0.00,0.00
10-December-2019,1.26,1.26,1.26,1.26,1.260000000000000000,100,1,126.00,100,100.00,0.00,0.00
5-December-2019,1.32,1.32,1.32,1.32,1.319924575738529226,1591,5,2100.00,1591,100.00,0.00,0.00
4-December-2019,1.30,1.30,1.30,1.30,1.300000000000000000,400,1,520.00,400,100.00,0.00,0.00
3-December-2019,1.30,1.30,1.30,1.30,1.299186991869918699,615,4,799.00,615,100.00,0.00,0.00
2-December-2019,1.45,1.45,1.35,1.35,1.441746582330136706,4901,3,7066.00,4901,100.00,0.10,-0.10
28-November-2019,1.40,1.40,1.40,1.40,1.400000000000000000,800,3,1120.00,800,100.00,0.00,0.00
27-November-2019,1.45,1.45,1.45,1.45,1.440000000000000000,50,2,72.00,50,100.00,0.00,0.00
26-November-2019,1.40,1.40,1.40,1.40,1.400000000000000000,50,1,70.00,50,100.00,0.00,0.00
22-November-2019,1.47,1.47,1.47,1.47,1.450000000000000000,20,1,29.00,20,100.00,0.00,0.00
21-November-2019,1.50,1.50,1.40,1.40,1.480691430673041559,2719,8,4026.00,2719,100.00,0.10,-0.10
19-November-2019,1.45,1.45,1.45,1.45,1.450000000000000000,200,1,290.00,200,100.00,0.00,0.00
18-November-2019,1.40,1.40,1.40,1.40,1.400000000000000000,1700,4,2380.00,1700,100.00,0.00,0.00
15-November-2019,1.47,1.47,1.47,1.47,1.469061876247504990,501,2,736.00,501,100.00,0.00,0.00
13-November-2019,1.35,1.40,1.30,1.40,1.325925925925925925,4050,11,5370.00,4050,100.00,0.10,0.05
11-November-2019,1.30,1.36,1.30,1.36,1.300000000000000000,300,3,390.00,300,100.00,0.06,0.06
8-November-2019,1.36,1.36,1.30,1.36,1.336000000000000000,500,4,668.00,500,100.00,0.06,0.00
7-November-2019,1.30,1.30,1.30,1.30,1.300000000000000000,500,2,650.00,500,100.00,0.00,0.00
4-November-2019,1.26,1.26,1.26,1.26,1.259420289855072463,1380,4,1738.00,1380,100.00,0.00,0.00
29-October-2019,1.30,1.30,1.30,1.30,1.299836867862969004,3065,6,3984.00,3065,100.00,0.00,0.00
27-October-2019,1.36,1.36,1.36,1.36,1.350000000000000000,40,1,54.00,40,100.00,0.00,0.00
25-October-2019,1.43,1.43,1.43,1.43,1.418181818181818181,55,1,78.00,55,100.00,0.00,0.00
23-October-2019,1.50,1.50,1.50,1.50,1.500000000000000000,100,1,150.00,100,100.00,0.00,0.00
22-October-2019,1.45,1.45,1.45,1.45,1.436363636363636363,55,2,79.00,55,100.00,0.00,0.00
18-October-2019,1.52,1.52,1.52,1.52,1.520000000000000000,225,1,342.00,225,100.00,0.00,0.00
17-October-2019,1.59,1.59,1.59,1.59,1.587878787878787878,330,2,524.00,330,100.00,0.00,0.00
16-October-2019,1.67,1.67,1.67,1.67,1.670000000000000000,100,1,167.00,100,100.00,0.00,0.00
15-October-2019,1.75,1.75,1.75,1.75,1.700000000000000000,10,1,17.00,10,100.00,0.00,0.00
14-October-2019,1.85,1.85,1.76,1.84,1.800000000000000000,460,6,828.00,450,97.83,0.09,-0.01
11-October-2019,1.85,1.85,1.70,1.85,1.711111111111111111,540,4,924.00,540,100.00,0.15,0.00
10-October-2019,1.72,1.78,1.72,1.78,1.767441860465116279,172,3,304.00,172,100.00,0.06,0.06
9-October-2019,1.70,1.70,1.70,1.70,1.699836867862969004,3678,8,6252.00,3678,100.00,0.00,0.00
7-October-2019,1.62,1.62,1.62,1.62,1.620000000000000000,100,1,162.00,100,100.00,0.00,0.00
3-October-2019,1.70,1.70,1.70,1.70,1.700000000000000000,10,1,17.00,10,100.00,0.00,0.00
1-October-2019,1.70,1.70,1.70,1.70,1.700000000000000000,50,2,85.00,50,100.00,0.00,0.00
30-September-2019,1.62,1.68,1.62,1.68,1.646031338299511944,3893,12,6408.00,3893,100.00,0.06,0.06
27-September-2019,1.62,1.62,1.62,1.62,1.620000000000000000,1000,3,1620.00,1000,100.00,0.00,0.00
26-September-2019,1.52,1.60,1.52,1.60,1.573333333333333333,3000,5,4720.00,3000,100.00,0.08,0.08
25-September-2019,1.60,1.60,1.60,1.60,1.600000000000000000,1020,3,1632.00,1020,100.00,0.00,0.00
23-September-2019,1.55,1.55,1.55,1.55,1.550000000000000000,600,4,930.00,600,100.00,0.00,0.00
20-September-2019,1.60,1.63,1.60,1.63,1.612385321100917431,436,6,703.00,436,100.00,0.03,0.03
19-September-2019,1.65,1.65,1.56,1.56,1.569327731092436974,1904,5,2988.00,1904,100.00,0.09,-0.09
18-September-2019,1.70,1.70,1.62,1.64,1.637386569872958257,2755,8,4511.00,2755,100.00,0.08,-0.06
17-September-2019,1.62,1.62,1.62,1.62,1.619847328244274809,655,2,1061.00,655,100.00,0.00,0.00
16-September-2019,1.70,1.70,1.70,1.70,1.666666666666666666,18,2,30.00,18,100.00,0.00,0.00
13-September-2019,1.72,1.72,1.65,1.65,1.671096345514950166,301,4,503.00,301,100.00,0.07,-0.07
12-September-2019,1.70,1.70,1.65,1.65,1.690909090909090909,110,2,186.00,110,100.00,0.05,-0.05
11-September-2019,1.70,1.70,1.70,1.70,1.700000000000000000,1010,6,1717.00,1010,100.00,0.00,0.00
