Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
27-December-2019,33.25,33.25,33.25,33.25,33.250000000000000000,8,4,266.00,8,100.00,0.00,0.00
11-December-2019,33.25,33.25,33.25,33.25,33.000000000000000000,3,1,99.00,3,100.00,0.00,0.00
21-November-2019,35.00,35.00,35.00,35.00,35.000000000000000000,16,1,560.00,16,100.00,0.00,0.00
19-November-2019,34.00,34.00,34.00,34.00,34.000000000000000000,10,1,340.00,10,100.00,0.00,0.00
5-November-2019,35.20,35.20,35.20,35.20,35.000000000000000000,3,3,105.00,3,100.00,0.00,0.00
4-November-2019,37.05,37.05,37.05,37.05,37.050000000000000000,20,1,741.00,20,100.00,0.00,0.00
1-November-2019,39.00,39.00,39.00,39.00,39.000000000000000000,11,3,429.00,11,100.00,0.00,0.00
22-October-2019,39.00,39.00,39.00,39.00,39.000000000000000000,20,1,780.00,20,100.00,0.00,0.00
17-October-2019,39.00,39.00,39.00,39.00,39.000000000000000000,42,1,1638.00,42,100.00,0.00,0.00
10-October-2019,39.40,39.40,39.40,39.40,39.400000000000000000,5,1,197.00,5,100.00,0.00,0.00
9-October-2019,39.40,39.40,39.40,39.40,39.333333333333333333,6,2,236.00,6,100.00,0.00,0.00
3-October-2019,39.40,39.40,39.40,39.40,39.000000000000000000,2,1,78.00,2,100.00,0.00,0.00
27-September-2019,41.45,41.45,41.45,41.45,41.000000000000000000,1,1,41.00,1,100.00,0.00,0.00
19-September-2019,39.60,39.60,39.60,39.60,39.000000000000000000,1,1,39.00,1,100.00,0.00,0.00
17-September-2019,37.75,37.75,37.75,37.75,37.714285714285714285,7,2,264.00,7,100.00,0.00,0.00
13-September-2019,37.75,37.75,37.75,37.75,37.000000000000000000,1,1,37.00,1,100.00,0.00,0.00
12-September-2019,39.70,39.70,39.70,39.70,39.000000000000000000,1,1,39.00,1,100.00,0.00,0.00
11-September-2019,40.00,40.00,38.00,38.00,39.333333333333333333,3,3,118.00,3,100.00,2.00,-2.00
9-September-2019,40.00,40.00,40.00,40.00,40.000000000000000000,1,1,40.00,1,100.00,0.00,0.00
28-August-2019,40.45,40.45,40.45,40.45,40.333333333333333333,6,2,242.00,6,100.00,0.00,0.00
21-August-2019,39.90,39.90,39.90,39.90,39.666666666666666666,3,2,119.00,3,100.00,0.00,0.00
20-August-2019,38.00,38.00,38.00,38.00,38.000000000000000000,1,1,38.00,1,100.00,0.00,0.00
16-August-2019,36.20,36.20,36.20,36.20,36.200000000000000000,25,2,905.00,25,100.00,0.00,0.00
2-August-2019,34.50,34.50,34.50,34.50,34.500000000000000000,40,4,1380.00,40,100.00,0.00,0.00
29-July-2019,32.90,32.90,32.90,32.90,32.000000000000000000,1,1,32.00,1,100.00,0.00,0.00
26-July-2019,32.00,32.00,32.00,32.00,32.000000000000000000,4,4,128.00,4,100.00,0.00,0.00
