Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
3-January-2020,88.00,88.00,88.00,88.00,88.000000000000000000,4000,2,352000.00,4000,100.00,0.00,0.00
2-January-2020,87.00,87.00,87.00,87.00,87.000000000000000000,2000,1,174000.00,2000,100.00,0.00,0.00
31-December-2019,87.00,87.00,87.00,87.00,87.000000000000000000,4000,1,348000.00,4000,100.00,0.00,0.00
24-December-2019,82.00,82.00,82.00,82.00,82.000000000000000000,2000,1,164000.00,2000,100.00,0.00,0.00
19-December-2019,80.00,80.00,80.00,80.00,80.000000000000000000,2000,1,160000.00,2000,100.00,0.00,0.00
18-December-2019,79.95,79.95,79.95,79.95,79.950000000000000000,2000,1,159900.00,2000,100.00,0.00,0.00
17-December-2019,73.00,73.00,73.00,73.00,73.000000000000000000,2000,1,146000.00,2000,100.00,0.00,0.00
16-December-2019,69.00,69.00,69.00,69.00,69.000000000000000000,2000,1,138000.00,2000,100.00,0.00,0.00
12-December-2019,66.10,66.10,66.10,66.10,66.100000000000000000,2000,1,132200.00,2000,100.00,0.00,0.00
11-December-2019,66.00,66.00,66.00,66.00,66.000000000000000000,2000,1,132000.00,2000,100.00,0.00,0.00
10-December-2019,64.00,64.00,64.00,64.00,64.000000000000000000,2000,1,128000.00,2000,100.00,0.00,0.00
6-December-2019,51.05,61.00,51.05,61.00,51.320000000000000000,150000,9,7698000.00,150000,100.00,9.95,9.95
5-December-2019,50.05,55.75,50.05,55.25,50.238709677419354838,186000,11,9344400.00,160000,86.02,5.70,5.20
4-December-2019,55.50,55.50,55.50,55.50,55.500000000000000000,2000,1,111000.00,2000,100.00,0.00,0.00
3-December-2019,60.50,60.50,60.50,60.50,60.500000000000000000,2000,1,121000.00,2000,100.00,0.00,0.00
2-December-2019,65.00,65.00,65.00,65.00,65.000000000000000000,2000,1,130000.00,2000,100.00,0.00,0.00
