Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
7-January-2020,199.00,199.20,194.40,195.55,196.336114974501622624,10785,957,2117485.00,3534,32.77,4.80,-3.45
6-January-2020,200.95,202.30,191.60,193.55,195.746402935077364810,31345,2240,6135671.00,20346,64.91,10.70,-7.40
3-January-2020,209.90,211.65,203.65,205.00,207.093701535844714593,19989,2084,4139596.00,9831,49.18,8.00,-4.90
2-January-2020,199.00,212.70,197.25,209.90,208.685079988304582097,47882,3818,9992259.00,16421,34.29,15.45,10.90
1-January-2020,199.25,200.40,198.00,198.50,198.725684024713150926,5665,418,1125781.00,3523,62.19,2.40,-0.75
31-December-2019,199.75,201.60,198.00,198.30,199.098483822932178150,14774,1004,2941481.00,10278,69.57,3.60,-1.45
30-December-2019,201.85,203.50,198.60,199.25,200.680319405245405107,14527,657,2915283.00,5612,38.63,4.90,-2.60
27-December-2019,202.85,204.80,199.20,200.45,202.008009492732126965,10113,1059,2042907.00,4676,46.24,5.60,-2.40
26-December-2019,206.00,206.00,201.00,201.70,202.617831204608064112,7986,480,1618106.00,3300,41.32,5.00,-4.30
24-December-2019,207.15,209.80,204.80,205.75,206.437394689442798210,17211,826,3552994.00,6396,37.16,5.00,-1.40
23-December-2019,201.50,210.90,201.50,205.55,206.070896801684870451,40834,2060,8414699.00,12532,30.69,9.40,4.05
20-December-2019,198.50,205.65,198.15,199.80,202.229536987759446514,18790,846,3799893.00,8845,47.07,7.50,1.30
19-December-2019,198.75,199.80,196.90,198.25,198.329323649568769859,4406,340,873839.00,1947,44.19,2.90,-0.50
18-December-2019,200.05,201.40,196.35,197.55,198.181296868107631230,18136,574,3594216.00,11868,65.44,5.05,-2.50
17-December-2019,200.00,204.00,198.00,200.65,200.826104337397561463,10006,431,2009466.00,4295,42.92,6.00,0.65
16-December-2019,203.45,204.95,199.10,199.95,200.843773385570277765,22717,3633,4562568.00,16078,70.78,5.85,-3.50
13-December-2019,198.00,208.85,197.60,202.95,203.752551477170993733,33510,1965,6827748.00,10832,32.32,11.25,4.95
12-December-2019,198.15,202.65,195.00,196.45,198.060557975822971062,34661,1470,6864977.00,14538,41.94,7.65,-1.70
11-December-2019,204.00,206.80,192.60,196.05,198.439989586045300702,34569,2043,6859872.00,10348,29.93,14.20,-7.95
10-December-2019,214.00,214.00,202.10,203.25,206.453909589395967358,23161,1090,4781679.00,10584,45.70,11.90,-10.75
9-December-2019,213.50,219.00,207.80,209.95,212.433244511613108495,50288,2155,10682843.00,16584,32.98,11.20,-3.55
6-December-2019,201.55,219.10,192.85,209.60,209.790551628889430498,123090,6573,25823119.00,33630,27.32,26.25,8.05
5-December-2019,202.00,207.00,199.05,200.30,203.066116364802051610,24956,1089,5067718.00,10223,40.96,7.95,-1.70
4-December-2019,202.70,209.40,197.00,201.25,202.434939248375247244,28312,1520,5731338.00,11115,39.26,12.40,-1.45
3-December-2019,206.75,207.85,198.70,202.00,203.348893825507440430,32861,1350,6682248.00,14683,44.68,9.15,-4.75
2-December-2019,212.55,212.55,204.55,205.35,206.940325828299469156,16389,649,3391545.00,7576,46.23,8.00,-7.20
29-November-2019,207.00,218.35,202.35,211.35,213.117736632635404049,57790,2366,12316074.00,16531,28.61,16.00,4.35
28-November-2019,207.80,208.00,200.00,201.95,204.098913854572589337,24122,1063,4923274.00,12808,53.10,8.00,-5.85
27-November-2019,208.00,211.30,203.40,207.80,207.066649352335811446,30803,1421,6378274.00,9732,31.59,7.90,-0.20
26-November-2019,218.50,219.90,205.00,208.20,212.335035979913372103,57949,5057,12304603.00,30861,53.26,14.90,-10.30
25-November-2019,219.45,223.35,217.00,217.35,218.634701664640026835,23849,1114,5214219.00,14667,61.50,6.35,-2.10
22-November-2019,224.50,227.60,219.40,221.90,223.427410956050822745,19204,829,4290700.00,10723,55.84,8.20,-2.60
21-November-2019,228.40,231.55,223.05,224.50,225.541380750641446387,16759,1183,3779848.00,6950,41.47,8.50,-3.90
20-November-2019,233.95,235.35,227.30,228.50,230.916660242078482769,12971,971,2995220.00,6447,49.70,8.05,-5.45
19-November-2019,236.00,238.85,230.80,232.90,234.378716361184331514,16313,663,3823420.00,6596,40.43,8.05,-3.10
18-November-2019,224.35,242.00,222.80,236.90,234.760629164090940311,87354,2802,20507280.00,41175,47.14,19.20,12.55
15-November-2019,218.95,227.80,216.80,222.80,222.146156218675302644,51876,3134,11524054.00,34362,66.24,11.00,3.85
14-November-2019,219.00,227.00,215.00,217.10,220.552719284956824723,26404,963,5823474.00,11692,44.28,12.00,-1.90
13-November-2019,223.20,227.00,218.10,218.85,221.959662899827619230,26105,1083,5794257.00,15258,58.45,8.90,-4.35
11-November-2019,225.60,227.45,220.95,223.25,223.636693255982596084,15169,1143,3392345.00,4798,31.63,6.50,-2.35
8-November-2019,223.35,231.40,223.35,226.15,228.178058738311602792,15186,880,3465112.00,7392,48.68,8.05,2.80
7-November-2019,221.50,234.60,220.55,228.50,229.735775843276315598,68809,4781,15807889.00,22341,32.47,14.05,7.00
6-November-2019,229.50,233.95,220.55,223.20,224.400257006486354179,32684,1232,7334298.00,16855,51.57,13.40,-6.30
5-November-2019,240.20,240.20,226.20,229.00,231.515693222385900651,75351,3970,17444939.00,41496,55.07,14.00,-11.20
4-November-2019,235.40,249.40,229.45,240.20,242.018116979702700455,108241,4290,26196283.00,34801,32.15,19.95,4.80
1-November-2019,224.00,244.00,224.00,232.40,235.398241751365810354,255709,8127,60193449.00,80729,31.57,20.00,8.40
31-October-2019,208.10,218.65,204.00,209.30,208.806818838182553309,190443,3846,39765797.00,121559,63.83,14.65,1.20
30-October-2019,212.00,213.60,204.00,206.40,208.485127043210875546,61790,1825,12882296.00,26307,42.57,9.60,-5.60
29-October-2019,207.05,220.00,207.05,211.90,213.709445040026450520,99809,2086,21330126.00,28123,28.18,12.95,4.85
27-October-2019,197.40,209.45,191.70,205.85,203.852026813047608993,75784,2039,15448722.00,19360,25.55,17.75,8.45
25-October-2019,180.40,198.70,180.40,193.90,191.042003783546914912,93563,3205,17874463.00,40134,42.90,18.30,13.50
24-October-2019,182.00,186.90,178.80,180.05,181.774103237095363079,11430,587,2077678.00,5492,48.05,8.10,-1.95
23-October-2019,187.00,187.00,178.10,182.65,182.948062182104735296,27918,626,5107544.00,12319,44.13,8.90,-4.35
22-October-2019,174.95,191.05,174.30,184.15,184.731894918417555071,70726,1826,13065348.00,19238,27.20,16.75,9.20
18-October-2019,168.90,181.00,168.90,175.20,176.357122647229220840,74221,1359,13089402.00,29231,39.38,12.10,6.30
17-October-2019,168.60,171.60,167.70,169.30,169.134637142395345078,6187,150,1046436.00,3019,48.80,3.90,0.70
16-October-2019,172.00,172.90,167.00,169.45,168.832405063291139240,15800,320,2667552.00,7554,47.81,5.90,-2.55
15-October-2019,169.95,174.00,168.70,171.55,171.769011358427137981,19633,363,3372341.00,8298,42.27,5.30,1.60
14-October-2019,165.20,169.65,165.00,168.15,167.246932051376386810,122313,457,20456474.00,105971,86.64,4.65,2.95
11-October-2019,170.00,170.95,164.00,165.35,166.969454887218045112,117040,552,19542105.00,105068,89.77,6.95,-4.65
10-October-2019,172.00,173.50,167.10,169.55,171.033345729515309284,16134,292,2759452.00,11344,70.31,6.40,-2.45
9-October-2019,173.00,174.60,170.40,171.40,172.059687553065036508,11778,330,2026519.00,5323,45.19,4.20,-1.60
7-October-2019,169.95,175.00,168.85,172.65,173.165190188804606610,36122,755,6255073.00,14715,40.74,6.15,2.70
4-October-2019,165.00,176.00,165.00,169.80,172.832722987042121793,316487,1158,54699310.00,267437,84.50,11.00,4.80
3-October-2019,165.00,171.95,164.00,165.45,168.206936966633703256,27303,493,4592554.00,13710,50.21,7.95,0.45
1-October-2019,178.40,181.00,156.50,165.05,168.954895123509369676,75136,2026,12694595.00,47793,63.61,24.50,-13.35
30-September-2019,181.00,183.60,175.55,176.80,179.196286606893398694,39371,734,7055137.00,16767,42.59,8.05,-4.20
27-September-2019,177.00,183.30,174.00,180.20,179.010824778266638731,42957,956,7689768.00,16536,38.49,9.30,3.20
26-September-2019,179.50,183.95,173.40,175.90,178.849940659862330880,63195,1220,11302422.00,26606,42.10,10.55,-3.60
25-September-2019,175.00,190.05,171.85,177.35,180.968242526067238433,176179,4038,31882804.00,58240,33.06,18.20,2.35
24-September-2019,159.00,182.90,157.55,176.80,173.845031186877094848,180204,3920,31327570.00,40586,22.52,25.35,17.80
23-September-2019,156.80,161.25,156.05,157.50,158.229569726048599288,51688,1012,8178570.00,15116,29.24,5.20,0.70
