Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
7-January-2020,2.62,2.62,2.62,2.62,2.619136960600375234,1066,2,2792.00,1066,100.00,0.00,0.00
6-January-2020,2.75,2.75,2.75,2.75,2.750000000000000000,500,1,1375.00,500,100.00,0.00,0.00
26-December-2019,2.73,2.73,2.73,2.73,2.695652173913043478,23,1,62.00,23,100.00,0.00,0.00
23-December-2019,2.86,2.86,2.73,2.73,2.854368932038834951,103,2,294.00,103,100.00,0.13,-0.13
20-December-2019,2.50,2.73,2.50,2.73,2.698296836982968369,411,5,1109.00,411,100.00,0.23,0.23
13-December-2019,2.61,2.61,2.61,2.61,2.607142857142857142,140,1,365.00,140,100.00,0.00,0.00
12-December-2019,2.62,2.62,2.49,2.49,2.500000000000000000,100,2,250.00,100,100.00,0.13,-0.13
11-December-2019,2.63,2.63,2.62,2.62,2.623809523809523809,210,3,551.00,210,100.00,0.01,-0.01
10-December-2019,2.75,2.75,2.75,2.75,2.750000000000000000,600,1,1650.00,600,100.00,0.00,0.00
2-December-2019,2.81,2.81,2.81,2.81,2.805369127516778523,149,3,418.00,149,100.00,0.00,0.00
29-November-2019,2.95,2.95,2.95,2.95,2.500000000000000000,2,1,5.00,2,100.00,0.00,0.00
28-November-2019,3.26,3.26,3.10,3.10,3.237875288683602771,1299,6,4206.00,1299,100.00,0.16,-0.16
27-November-2019,3.26,3.26,3.26,3.26,3.260000000000000000,50,1,163.00,50,100.00,0.00,0.00
22-November-2019,3.43,3.43,3.43,3.43,3.000000000000000000,2,1,6.00,2,100.00,0.00,0.00
20-November-2019,3.61,3.61,3.61,3.61,3.607973421926910299,301,2,1086.00,301,100.00,0.00,0.00
19-November-2019,3.79,3.79,3.79,3.79,3.790000000000000000,100,2,379.00,100,100.00,0.00,0.00
1-November-2019,3.98,3.98,3.98,3.98,3.900000000000000000,10,1,39.00,10,100.00,0.00,0.00
31-October-2019,4.18,4.18,4.18,4.18,4.172727272727272727,110,3,459.00,110,100.00,0.00,0.00
30-October-2019,4.40,4.40,4.40,4.40,4.400000000000000000,10,1,44.00,10,100.00,0.00,0.00
18-October-2019,4.63,4.63,4.63,4.63,4.000000000000000000,1,1,4.00,1,100.00,0.00,0.00
17-October-2019,4.63,4.63,4.63,4.63,4.000000000000000000,1,1,4.00,1,100.00,0.00,0.00
10-October-2019,4.63,4.63,4.41,4.41,4.500000000000000000,4,4,18.00,4,100.00,0.22,-0.22
9-October-2019,4.41,4.41,4.41,4.41,4.400000000000000000,10,2,44.00,10,100.00,0.00,0.00
4-October-2019,4.63,4.63,4.63,4.63,4.000000000000000000,1,1,4.00,1,100.00,0.00,0.00
3-October-2019,4.41,4.41,4.41,4.41,4.400000000000000000,5,1,22.00,5,100.00,0.00,0.00
27-September-2019,4.20,4.20,4.20,4.20,4.166666666666666666,18,2,75.00,18,100.00,0.00,0.00
23-September-2019,4.40,4.40,4.40,4.40,4.400000000000000000,20,1,88.00,20,100.00,0.00,0.00
20-September-2019,4.60,4.60,4.60,4.60,4.600000000000000000,100,1,460.00,100,100.00,0.00,0.00
18-September-2019,4.60,4.60,4.60,4.60,4.500000000000000000,8,1,36.00,8,100.00,0.00,0.00
6-September-2019,4.73,4.73,4.73,4.73,4.730000000000000000,200,2,946.00,200,100.00,0.00,0.00
30-August-2019,4.97,4.97,4.97,4.97,4.000000000000000000,1,1,4.00,1,100.00,0.00,0.00
28-August-2019,5.23,5.23,5.23,5.23,5.142857142857142857,7,1,36.00,7,100.00,0.00,0.00
27-August-2019,5.50,5.50,5.50,5.50,5.498220640569395017,281,7,1545.00,281,100.00,0.00,0.00
8-August-2019,5.50,5.50,5.50,5.50,5.500000000000000000,20,1,110.00,20,100.00,0.00,0.00
6-August-2019,5.89,5.89,5.50,5.50,5.532554257095158597,3594,2,19884.00,3594,100.00,0.39,-0.39
25-July-2019,5.69,5.69,5.69,5.69,5.688581314878892733,289,1,1644.00,289,100.00,0.00,0.00
23-July-2019,5.51,5.51,5.51,5.51,5.500000000000000000,2,1,11.00,2,100.00,0.00,0.00
19-July-2019,5.80,6.25,5.75,5.80,5.799867021276595744,1504,5,8723.00,1504,100.00,0.50,0.00
18-July-2019,6.05,6.05,6.05,6.05,6.049653579676674364,1732,5,10478.00,1732,100.00,0.00,0.00
17-July-2019,5.77,5.77,5.77,5.77,5.769135802469135802,810,4,4673.00,810,100.00,0.00,0.00
16-July-2019,5.50,5.50,5.50,5.50,5.500000000000000000,3500,8,19250.00,3500,100.00,0.00,0.00
15-July-2019,5.24,5.24,5.24,5.24,5.238805970149253731,67,2,351.00,67,100.00,0.00,0.00
12-July-2019,5.24,5.24,5.24,5.24,5.166666666666666666,6,1,31.00,6,100.00,0.00,0.00
11-July-2019,5.50,5.50,5.50,5.50,5.497607655502392344,209,1,1149.00,209,100.00,0.00,0.00
10-July-2019,5.53,5.53,5.51,5.51,5.512258064516129032,1550,4,8544.00,1550,100.00,0.02,-0.02
9-July-2019,5.80,5.80,5.80,5.80,5.800000000000000000,20,1,116.00,20,100.00,0.00,0.00
4-July-2019,6.04,6.04,6.04,6.04,6.025000000000000000,40,2,241.00,40,100.00,0.00,0.00
