Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
7-January-2020,5.50,5.50,5.45,5.50,5.499601593625498007,2510,6,13804.00,2510,100.00,0.05,0.00
6-January-2020,5.24,5.24,4.75,5.24,5.125000000000000000,2856,15,14637.00,2705,94.71,0.49,0.00
3-January-2020,5.00,5.00,5.00,5.00,5.000000000000000000,200,1,1000.00,200,100.00,0.00,0.00
2-January-2020,5.10,5.10,4.99,4.99,5.059682539682539682,1575,4,7969.00,1575,100.00,0.11,-0.11
1-January-2020,4.90,5.40,4.90,5.25,4.943469785575048732,4617,12,22824.00,4600,99.63,0.50,0.35
30-December-2019,5.15,5.15,5.15,5.15,5.149090909090909090,550,3,2832.00,550,100.00,0.00,0.00
27-December-2019,5.15,5.15,5.15,5.15,5.148000000000000000,250,1,1287.00,250,100.00,0.00,0.00
26-December-2019,5.92,5.92,5.36,5.36,5.409617097061442564,2246,6,12150.00,2046,91.10,0.56,-0.56
24-December-2019,5.65,5.65,5.64,5.64,5.649214659685863874,1910,4,10790.00,1910,100.00,0.01,-0.01
23-December-2019,5.93,5.93,5.93,5.93,5.916666666666666666,72,2,426.00,72,100.00,0.00,0.00
19-December-2019,5.37,5.93,5.37,5.93,5.792682926829268292,492,6,2850.00,372,75.61,0.56,0.56
18-December-2019,5.65,5.65,5.65,5.65,5.650000000000000000,500,1,2825.00,500,100.00,0.00,0.00
16-December-2019,5.02,5.39,4.96,5.39,4.982808022922636103,1047,10,5217.00,1035,98.85,0.43,0.37
13-December-2019,5.21,5.21,5.21,5.21,5.208000000000000000,250,1,1302.00,250,100.00,0.00,0.00
12-December-2019,5.41,5.42,5.41,5.42,5.409395973154362416,149,2,806.00,149,100.00,0.01,0.01
11-December-2019,6.25,6.25,5.69,5.69,5.833333333333333333,270,5,1575.00,205,75.93,0.56,-0.56
10-December-2019,5.96,5.96,5.96,5.96,5.000000000000000000,1,1,5.00,1,100.00,0.00,0.00
6-December-2019,6.01,6.01,6.01,6.01,6.000000000000000000,70,1,420.00,70,100.00,0.00,0.00
5-December-2019,6.20,6.20,6.20,6.20,6.200000000000000000,500,1,3100.00,500,100.00,0.00,0.00
2-December-2019,7.00,7.00,6.43,6.52,6.522088353413654618,2241,8,14616.00,2000,89.25,0.57,-0.48
29-November-2019,6.25,6.75,6.24,6.75,6.550000000000000000,1900,6,12445.00,1675,88.16,0.51,0.50
27-November-2019,5.95,6.56,5.95,6.56,6.556886227544910179,501,2,3285.00,501,100.00,0.61,0.61
26-November-2019,6.25,6.75,6.25,6.25,6.250188679245283018,2650,11,16563.00,2649,99.96,0.50,0.00
21-November-2019,6.52,6.52,6.52,6.52,6.000000000000000000,1,1,6.00,1,100.00,0.00,0.00
20-November-2019,6.82,6.82,6.82,6.82,6.820000000000000000,500,1,3410.00,500,100.00,0.00,0.00
19-November-2019,7.13,7.13,7.13,7.13,7.129330254041570438,866,2,6174.00,866,100.00,0.00,0.00
18-November-2019,7.45,8.21,7.45,7.50,8.159727609688819929,11601,6,94661.00,11601,100.00,0.76,0.05
15-November-2019,7.82,7.82,7.82,7.82,7.000000000000000000,1,1,7.00,1,100.00,0.00,0.00
13-November-2019,7.45,7.45,7.45,7.45,7.449664429530201342,745,1,5550.00,745,100.00,0.00,0.00
11-November-2019,8.06,8.06,7.76,7.80,7.800000000000000000,150,2,1170.00,150,100.00,0.30,-0.26
7-November-2019,8.08,8.08,8.08,8.08,8.000000000000000000,1,1,8.00,1,100.00,0.00,0.00
6-November-2019,7.70,8.08,7.70,7.70,7.859514687100893997,1566,6,12308.00,1565,99.94,0.38,0.00
5-November-2019,8.00,8.00,7.45,7.70,7.577114427860696517,201,4,1523.00,200,99.50,0.55,-0.30
4-November-2019,7.68,7.68,7.01,7.68,7.578313253012048192,1826,10,13838.00,1810,99.12,0.67,0.00
31-October-2019,7.50,7.50,7.32,7.32,7.338000000000000000,500,2,3669.00,500,100.00,0.18,-0.18
30-October-2019,7.77,7.77,7.70,7.70,7.767592592592592592,1080,6,8389.00,1080,100.00,0.07,-0.07
29-October-2019,6.80,7.40,6.80,7.40,6.803180914512922465,503,4,3422.00,503,100.00,0.60,0.60
18-October-2019,7.05,7.05,7.05,7.05,7.000000000000000000,5,1,35.00,5,100.00,0.00,0.00
17-October-2019,7.30,7.30,7.30,7.30,7.299401197604790419,501,3,3657.00,500,99.80,0.00,0.00
14-October-2019,7.80,7.80,7.47,7.47,7.698750000000000000,800,3,6159.00,800,100.00,0.33,-0.33
11-October-2019,7.50,7.98,7.50,7.86,7.732258064516129032,310,4,2397.00,209,67.42,0.48,0.36
10-October-2019,7.60,7.60,7.60,7.60,7.600000000000000000,300,1,2280.00,300,100.00,0.00,0.00
9-October-2019,8.00,8.00,8.00,8.00,8.000000000000000000,22,1,176.00,22,100.00,0.00,0.00
7-October-2019,8.82,8.82,8.00,8.00,8.401960784313725490,102,4,857.00,52,50.98,0.82,-0.82
3-October-2019,8.40,8.40,8.40,8.40,8.400000000000000000,1930,7,16212.00,1930,100.00,0.00,0.00
1-October-2019,8.45,8.45,8.45,8.45,8.400000000000000000,5,1,42.00,5,100.00,0.00,0.00
30-September-2019,7.80,8.45,7.65,8.45,7.797937177684013127,2133,8,16633.00,1933,90.62,0.80,0.65
27-September-2019,7.30,8.05,7.30,8.05,7.820359281437125748,167,2,1306.00,167,100.00,0.75,0.75
26-September-2019,7.67,7.68,7.62,7.68,7.653352353780313837,701,8,5365.00,701,100.00,0.06,0.01
24-September-2019,8.08,8.08,7.32,7.32,7.687840290381125226,551,8,4236.00,550,99.82,0.76,-0.76
23-September-2019,7.71,7.71,7.02,7.70,7.693826543364158960,4001,7,30783.00,4001,100.00,0.69,-0.01
20-September-2019,6.80,7.35,6.80,7.35,6.846102598267821452,1501,6,10276.00,1400,93.27,0.55,0.55
19-September-2019,7.15,7.15,7.15,7.15,7.150000000000000000,200,1,1430.00,200,100.00,0.00,0.00
18-September-2019,7.52,7.52,7.52,7.52,7.520000000000000000,100,1,752.00,100,100.00,0.00,0.00
17-September-2019,6.81,7.51,6.81,7.51,7.488054607508532423,1465,8,10970.00,1455,99.32,0.70,0.70
16-September-2019,6.85,7.16,6.85,7.16,7.154311926605504587,5450,12,38991.00,5429,99.61,0.31,0.31
13-September-2019,6.36,6.82,6.36,6.82,6.587475790832795351,3098,17,20408.00,2119,68.40,0.46,0.46
12-September-2019,6.82,6.82,6.36,6.50,6.561085972850678733,884,8,5800.00,884,100.00,0.46,-0.32
11-September-2019,6.77,6.95,6.45,6.50,6.605116166113494697,12353,17,81593.00,12350,99.98,0.50,-0.27
9-September-2019,6.85,6.85,6.77,6.77,6.830000000000000000,400,3,2732.00,400,100.00,0.08,-0.08
6-September-2019,7.01,7.71,7.00,7.00,7.012833168805528134,1013,7,7104.00,1007,99.41,0.71,-0.01
5-September-2019,7.35,7.35,6.78,7.35,7.347682119205298013,302,6,2219.00,302,100.00,0.57,0.00
4-September-2019,7.30,7.30,7.00,7.01,7.151219512195121951,205,3,1466.00,100,48.78,0.30,-0.29
3-September-2019,7.35,7.36,7.35,7.36,7.354304635761589403,302,5,2221.00,201,66.56,0.01,0.01
30-August-2019,7.34,7.35,7.34,7.35,7.346181818181818181,2750,5,20202.00,2750,100.00,0.01,0.01
28-August-2019,7.29,7.29,6.66,7.00,6.880903490759753593,487,4,3351.00,487,100.00,0.63,-0.29
27-August-2019,7.35,7.35,7.00,7.01,7.120661157024793388,605,6,4308.00,605,100.00,0.35,-0.34
23-August-2019,7.70,7.75,7.35,7.35,7.590683229813664596,1610,13,12221.00,1610,100.00,0.40,-0.35
22-August-2019,7.70,8.45,7.69,7.69,7.900674432863274064,4893,26,38658.00,3846,78.60,0.76,-0.01
21-August-2019,8.90,8.90,8.08,8.09,8.095108695652173913,2208,5,17874.00,2208,100.00,0.82,-0.81
20-August-2019,8.49,8.50,8.49,8.50,8.492500000000000000,400,3,3397.00,400,100.00,0.01,0.01
19-August-2019,8.35,8.35,8.10,8.10,8.181818181818181818,550,3,4500.00,550,100.00,0.25,-0.25
14-August-2019,8.50,8.50,8.50,8.50,8.000000000000000000,1,1,8.00,1,100.00,0.00,0.00
13-August-2019,8.52,8.52,8.50,8.50,8.503978779840848806,377,3,3206.00,377,100.00,0.02,-0.02
9-August-2019,9.15,9.15,8.35,8.90,8.792962356792144026,1222,9,10745.00,1222,100.00,0.80,-0.25
8-August-2019,9.40,9.40,8.55,8.77,8.769467213114754098,976,6,8559.00,976,100.00,0.85,-0.63
7-August-2019,9.66,9.66,8.75,8.98,9.430000000000000000,300,4,2829.00,270,90.00,0.91,-0.68
