Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
26-December-2019,6.94,6.94,6.94,6.94,6.000000000000000000,1,1,6.00,1,100.00,0.00,0.00
20-December-2019,7.30,7.30,7.30,7.30,7.000000000000000000,1,1,7.00,1,100.00,0.00,0.00
29-November-2019,7.02,7.02,7.02,7.02,7.000000000000000000,10,1,70.00,10,100.00,0.00,0.00
21-November-2019,7.38,7.38,7.38,7.38,7.000000000000000000,1,1,7.00,1,100.00,0.00,0.00
4-November-2019,7.38,7.38,7.38,7.38,7.000000000000000000,1,1,7.00,1,100.00,0.00,0.00
10-October-2019,7.76,7.76,7.76,7.76,7.700000000000000000,10,1,77.00,10,100.00,0.00,0.00
7-October-2019,8.16,8.16,8.16,8.16,8.000000000000000000,5,1,40.00,5,100.00,0.00,0.00
1-October-2019,8.58,8.58,8.58,8.58,8.000000000000000000,1,1,8.00,1,100.00,0.00,0.00
23-September-2019,9.05,9.05,9.03,9.03,9.000000000000000000,6,2,54.00,6,100.00,0.02,-0.02
20-September-2019,9.50,9.50,9.50,9.50,9.400000000000000000,5,1,47.00,5,100.00,0.00,0.00
30-August-2019,10.00,10.00,10.00,10.00,10.000000000000000000,1,1,10.00,1,100.00,0.00,0.00
27-August-2019,10.21,10.21,10.21,10.21,10.000000000000000000,1,1,10.00,1,100.00,0.00,0.00
2-August-2019,10.74,10.74,10.74,10.74,10.000000000000000000,1,1,10.00,1,100.00,0.00,0.00
19-July-2019,10.74,10.74,10.74,10.74,10.737931034482758620,145,1,1557.00,145,100.00,0.00,0.00
18-July-2019,11.30,11.30,11.30,11.30,11.300000000000000000,10,1,113.00,10,100.00,0.00,0.00
17-July-2019,10.83,10.86,10.83,10.84,10.842335766423357664,685,4,7427.00,685,100.00,0.03,0.01
16-July-2019,11.40,11.40,11.40,11.40,11.400000000000000000,270,3,3078.00,270,100.00,0.00,0.00
15-July-2019,12.00,12.00,12.00,12.00,12.000000000000000000,10,1,120.00,10,100.00,0.00,0.00
2-July-2019,11.50,11.50,11.50,11.50,11.500000000000000000,10,1,115.00,10,100.00,0.00,0.00
27-May-2019,11.50,11.50,11.50,11.50,11.500000000000000000,10,1,115.00,10,100.00,0.00,0.00
15-April-2019,11.50,11.50,11.50,11.50,11.000000000000000000,1,1,11.00,1,100.00,0.00,0.00
11-April-2019,11.50,11.50,11.50,11.50,11.500000000000000000,1600,3,18400.00,1600,100.00,0.00,0.00
