Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
7-January-2020,130.50,132.75,128.60,129.55,130.402745463006049325,4298,87,560471.00,3694,85.95,4.15,-0.95
6-January-2020,125.05,128.90,125.00,127.40,126.358918918918918918,1850,40,233764.00,1347,72.81,3.90,2.35
3-January-2020,129.10,129.70,127.00,127.30,128.111712931618144888,1477,34,189221.00,1426,96.55,2.70,-1.80
2-January-2020,129.00,132.85,128.00,130.15,130.228502220427937020,4954,77,645152.00,4379,88.39,4.85,1.15
1-January-2020,124.25,130.60,124.25,127.75,127.578998763101360588,15361,55,1959741.00,12774,83.16,6.35,3.50
31-December-2019,126.30,128.40,126.30,126.70,126.541445270988310308,1882,20,238151.00,1638,87.04,2.10,0.40
30-December-2019,128.50,129.10,126.25,129.05,128.345788849347568208,1686,39,216391.00,1480,87.78,2.85,0.55
27-December-2019,126.00,130.00,126.00,127.50,127.592114695340501792,1395,28,177991.00,1179,84.52,4.00,1.50
26-December-2019,125.70,130.65,125.70,128.75,128.209042076991942703,2234,47,286419.00,1729,77.39,4.95,3.05
24-December-2019,126.10,127.50,125.00,125.70,126.158702649170586778,8078,53,1019110.00,3773,46.71,2.50,-0.40
23-December-2019,125.70,128.90,125.35,126.85,126.860866372980910425,2724,39,345569.00,2481,91.08,3.55,1.15
20-December-2019,121.10,128.00,121.10,127.45,126.358723623262995367,3886,57,491030.00,3313,85.25,6.90,6.35
19-December-2019,126.00,127.95,125.05,125.80,126.570833333333333333,2880,24,364524.00,2804,97.36,2.90,-0.20
18-December-2019,124.00,128.00,123.90,125.00,124.846532091097308488,3864,56,482407.00,3452,89.34,4.10,1.00
17-December-2019,129.60,129.60,124.00,124.85,125.187086934417895271,3934,85,492486.00,3380,85.92,5.60,-4.75
16-December-2019,129.80,129.80,123.00,125.70,125.467878787878787878,2475,66,310533.00,1725,69.70,6.80,-4.10
13-December-2019,122.65,128.00,122.65,125.30,125.505738615327656423,2701,51,338991.00,2248,83.23,5.35,2.65
12-December-2019,128.10,128.20,125.00,125.10,126.281531531531531531,1776,29,224276.00,1256,70.72,3.20,-3.00
11-December-2019,125.55,127.00,123.50,125.20,125.929388029589778076,4461,74,561771.00,3551,79.60,3.50,-0.35
10-December-2019,127.15,127.50,126.60,126.70,126.885308574549426542,1831,13,232327.00,1630,89.02,0.90,-0.45
9-December-2019,127.35,130.00,126.00,126.15,127.125992939099735216,4532,108,576135.00,3757,82.90,4.00,-1.20
6-December-2019,130.15,131.40,127.65,130.20,130.358427714856762158,1501,43,195668.00,1134,75.55,3.75,0.05
5-December-2019,129.05,132.00,129.05,130.30,130.645307099175751130,3761,69,491357.00,3022,80.35,2.95,1.25
4-December-2019,133.90,133.90,129.05,129.20,129.743357829282080271,1769,40,229516.00,1287,72.75,4.85,-4.70
3-December-2019,131.50,133.75,129.00,130.05,131.280362432479526049,5739,75,753418.00,4829,84.14,4.75,-1.45
2-December-2019,129.30,133.70,129.20,131.30,131.114787305874409182,1481,27,194181.00,1039,70.16,4.50,2.00
29-November-2019,131.10,135.25,129.25,130.95,131.664586583463338533,4487,93,590779.00,3241,72.23,6.00,-0.15
28-November-2019,131.00,138.00,131.00,132.70,134.271885521885521885,3564,111,478545.00,2029,56.93,7.00,1.70
27-November-2019,127.00,140.00,126.30,133.95,131.456665096561469618,4246,112,558165.00,3565,83.96,13.70,6.95
26-November-2019,130.95,131.00,127.40,128.25,129.507522567703109327,4985,80,645595.00,4397,88.20,3.60,-2.70
25-November-2019,128.20,129.45,126.25,126.80,127.186749823487879501,8498,115,1080833.00,7565,89.02,3.20,-1.40
22-November-2019,133.90,133.90,130.00,131.00,130.890556045895851721,3399,43,444897.00,2681,78.88,3.90,-2.90
21-November-2019,132.50,134.45,129.70,132.00,130.758994197292069632,5170,80,676024.00,3712,71.80,4.75,-0.50
20-November-2019,129.80,134.75,127.50,132.40,130.688806407501465129,5119,97,668996.00,4459,87.11,7.25,2.60
19-November-2019,131.50,131.50,125.10,127.60,127.365237020316027088,4430,94,564228.00,3297,74.42,6.40,-3.90
