Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
7-January-2020,68.40,72.00,68.40,68.60,70.425000000000000000,200,6,14085.00,192,96.00,3.60,0.20
6-January-2020,72.00,72.00,72.00,72.00,72.000000000000000000,30,1,2160.00,30,100.00,0.00,0.00
3-January-2020,76.00,78.70,75.95,76.00,76.349514563106796116,103,9,7864.00,68,66.02,2.75,0.00
2-January-2020,67.85,77.65,67.85,76.45,73.584555229716520039,1023,23,75277.00,888,86.80,9.80,8.60
1-January-2020,73.90,73.90,65.10,66.60,67.204545454545454545,264,11,17742.00,200,75.76,8.80,-7.30
31-December-2019,69.70,70.55,65.50,70.55,69.742857142857142857,350,10,24410.00,330,94.29,5.05,0.85
30-December-2019,68.95,68.95,61.00,67.70,66.647910863509749303,1795,28,119633.00,1740,96.94,7.95,-1.25
27-December-2019,61.00,65.00,59.95,65.00,62.387500000000000000,320,11,19964.00,265,82.81,5.05,4.00
26-December-2019,55.80,59.90,52.00,59.90,54.300228683436785364,3061,40,166213.00,2507,81.90,7.90,4.10
24-December-2019,59.95,59.95,54.80,55.80,56.552607502287282708,1093,37,61812.00,602,55.08,5.15,-4.15
23-December-2019,68.90,68.90,58.25,59.95,60.050524679362611737,2573,40,154510.00,908,35.29,10.65,-8.95
20-December-2019,69.90,69.90,62.00,63.95,64.353629976580796252,427,19,27479.00,392,91.80,7.90,-5.95
19-December-2019,68.95,68.95,63.35,63.80,64.329652996845425867,634,20,40785.00,337,53.15,5.60,-5.15
18-December-2019,71.90,74.50,61.25,66.25,65.236326530612244897,2450,47,159829.00,1435,58.57,13.25,-5.65
17-December-2019,72.90,77.90,64.50,66.35,69.004842615012106537,826,30,56998.00,407,49.27,13.40,-6.55
16-December-2019,75.95,75.95,64.05,65.65,67.425008906305664410,5614,93,378524.00,1869,33.29,11.90,-10.30
13-December-2019,73.75,80.00,66.00,67.20,71.740740740740740740,297,24,21307.00,168,56.57,14.00,-6.55
12-December-2019,73.50,73.50,64.25,67.40,65.939849624060150375,266,15,17540.00,220,82.71,9.25,-6.10
11-December-2019,74.75,74.75,67.00,69.95,69.195211786372007366,1086,22,75146.00,994,91.53,7.75,-4.80
10-December-2019,79.90,79.90,67.50,69.30,70.607375271149674620,922,22,65100.00,726,78.74,12.40,-10.60
9-December-2019,82.75,82.75,72.10,75.00,75.288676236044657097,627,11,47206.00,487,77.67,10.65,-7.75
6-December-2019,76.10,82.00,76.10,77.70,77.638932496075353218,637,12,49456.00,357,56.04,5.90,1.60
5-December-2019,82.95,82.95,79.70,79.90,81.156934306569343065,274,6,22237.00,140,51.09,3.25,-3.05
4-December-2019,83.90,84.00,79.40,79.40,81.049450549450549450,364,20,29502.00,351,96.43,4.60,-4.50
3-December-2019,77.05,79.95,77.00,79.55,78.900000000000000000,300,9,23670.00,244,81.33,2.95,2.50
2-December-2019,82.85,84.00,76.10,79.95,80.148014440433212996,1108,15,88804.00,869,78.43,7.90,-2.90
29-November-2019,78.00,82.30,75.00,76.20,77.763751763046544428,1418,33,110269.00,1100,77.57,7.30,-1.80
28-November-2019,80.95,80.95,78.00,78.05,79.175853018372703412,381,7,30166.00,381,100.00,2.95,-2.90
27-November-2019,76.05,81.30,76.05,81.30,77.442231075697211155,251,5,19438.00,231,92.03,5.25,5.25
26-November-2019,86.95,86.95,78.10,80.25,80.502941176470588235,340,10,27371.00,210,61.76,8.85,-6.70
25-November-2019,84.90,88.95,80.00,81.95,84.824858757062146892,177,19,15014.00,100,56.50,8.95,-2.95
22-November-2019,79.25,79.25,78.45,79.00,78.744034707158351409,461,10,36301.00,253,54.88,0.80,-0.25
21-November-2019,84.00,84.00,78.50,81.85,80.315992292870905587,519,20,41684.00,249,47.98,5.50,-2.15
20-November-2019,84.00,84.00,78.25,83.40,81.754601226993865030,163,12,13326.00,140,85.89,5.75,-0.60
19-November-2019,84.00,84.00,79.55,84.00,82.645089285714285714,1344,27,111075.00,950,70.68,4.45,0.00
18-November-2019,84.90,88.95,78.05,82.00,81.543165467625899280,1390,43,113345.00,1225,88.13,10.90,-2.90
15-November-2019,78.40,81.95,76.45,77.25,79.050314465408805031,318,12,25138.00,190,59.75,5.50,-1.15
14-November-2019,84.00,84.00,80.35,80.50,80.625396825396825396,315,9,25397.00,210,66.67,3.65,-3.50
13-November-2019,86.50,95.00,80.00,84.55,85.786135693215339233,678,36,58163.00,487,71.83,15.00,-1.95
