Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-December-2019,3.57,3.57,3.57,3.57,3.500000000000000000,2,1,7.00,2,100.00,0.00,0.00
5-December-2019,3.75,3.75,3.75,3.75,3.745098039215686274,51,1,191.00,51,100.00,0.00,0.00
14-November-2019,3.77,3.77,3.77,3.77,3.750000000000000000,4,4,15.00,4,100.00,0.00,0.00
11-September-2019,3.77,3.77,3.77,3.77,3.760000000000000000,25,1,94.00,25,100.00,0.00,0.00
