Date,Open,High,Low,Close,Adj Close,Volume
2017-05-10,197.369995,197.589996,196.529999,196.639999,182.241425,2247700
2017-05-11,196.039993,196.940002,195.259995,196.750000,182.343353,1705000
2017-05-12,195.899994,197.119995,195.860001,196.570007,182.176514,1323100
2017-05-15,196.669998,197.740005,196.229996,197.630005,183.158920,1474500
2017-05-16,197.479996,197.940002,196.860001,197.910004,183.418396,1183600
2017-05-17,196.740005,196.740005,194.720001,194.839996,181.651642,1881800
2017-05-18,194.500000,195.820007,193.539993,195.240005,182.024582,1929000
2017-05-19,196.300003,196.300003,194.449997,195.800003,182.546677,1894700
2017-05-22,196.350006,198.669998,196.350006,198.509995,185.073257,1835900
2017-05-23,198.729996,198.970001,197.520004,197.729996,184.346054,1514200
2017-05-24,198.490005,198.529999,197.279999,197.490005,184.122314,1206400
2017-05-25,198.410004,199.610001,197.750000,199.539993,186.033539,1508000
2017-05-26,199.139999,200.690002,198.970001,200.669998,187.087051,1410600
2017-05-30,200.309998,203.029999,199.960007,202.440002,188.737259,2171100
2017-05-31,202.729996,204.470001,202.270004,204.470001,190.629852,3096800
2017-06-01,204.250000,204.899994,203.679993,204.350006,190.517975,2352700
2017-06-02,205.059998,207.389999,204.789993,206.699997,192.708878,1831900
2017-06-05,206.770004,207.330002,206.220001,206.220001,192.261383,1253100
2017-06-06,206.009995,206.660004,205.410004,205.410004,191.506256,1458800
2017-06-07,205.729996,205.869995,204.100006,205.009995,191.133286,1885600
2017-06-08,205.009995,206.029999,204.089996,205.940002,192.000351,2451300
2017-06-09,206.000000,206.970001,205.639999,206.929993,192.923325,1893100
2017-06-12,206.929993,208.419998,205.500000,207.389999,193.352188,2388200
2017-06-13,207.580002,209.669998,207.559998,209.110001,194.955780,1688800
2017-06-14,209.779999,210.789993,209.529999,210.009995,195.794861,1585300
2017-06-15,209.500000,211.320007,209.440002,211.289993,196.988190,1594100
2017-06-16,211.729996,213.460007,211.440002,213.240005,198.806198,3420600
2017-06-19,214.000000,214.000000,212.699997,213.360001,198.918076,1667600
2017-06-20,213.449997,214.570007,213.050003,213.360001,198.918076,1531200
2017-06-21,214.020004,214.020004,212.089996,212.860001,198.451935,1812900
2017-06-22,212.729996,213.119995,212.089996,212.220001,197.855240,1400400
2017-06-23,212.000000,213.169998,211.710007,212.899994,198.489258,1584900
2017-06-26,212.789993,213.470001,212.309998,212.610001,198.218872,1352100
2017-06-27,212.000000,212.500000,209.380005,209.779999,195.580414,2240200
2017-06-28,210.779999,211.179993,210.089996,210.619995,196.363556,1542900
2017-06-29,211.050003,211.050003,207.080002,207.850006,193.781036,1809900
2017-06-30,209.910004,209.910004,207.850006,208.190002,194.098053,1770000
2017-07-03,209.139999,210.339996,208.750000,209.830002,195.627045,1040200
2017-07-05,210.000000,210.240005,209.410004,209.759995,195.561768,1065300
2017-07-06,209.050003,209.720001,207.889999,208.020004,193.939545,1189900
2017-07-07,208.500000,210.149994,208.050003,209.589996,195.403259,1531000
2017-07-10,209.600006,211.740005,208.990005,210.490005,196.242371,1308400
2017-07-11,210.410004,211.199997,208.000000,209.660004,195.468552,1268100
2017-07-12,210.910004,212.779999,210.270004,211.300003,196.997528,1447900
2017-07-13,211.199997,212.000000,210.179993,211.089996,196.801727,1138800
2017-07-14,211.520004,212.240005,210.630005,211.770004,197.435730,1062000
2017-07-17,212.199997,212.199997,210.589996,211.679993,197.351807,1311300
2017-07-18,210.679993,211.520004,210.300003,211.309998,197.006866,1562600
2017-07-19,211.509995,212.110001,211.169998,212.100006,197.743408,825300
2017-07-20,212.210007,213.410004,212.059998,212.449997,198.069672,1347400
2017-07-21,211.649994,211.839996,209.479996,211.160004,196.867020,2246200
