Date,Open,High,Low,Close,Adj Close,Volume
2017-05-10,143.860001,144.639999,143.729996,144.520004,135.159058,2273300
2017-05-11,144.080002,144.410004,143.399994,144.210007,134.869125,1941900
2017-05-12,144.500000,145.500000,144.460007,145.360001,135.944641,2747900
2017-05-15,145.429993,146.399994,145.429993,146.279999,136.805038,3332800
2017-05-16,146.550003,147.669998,146.279999,147.289993,137.749634,3540900
2017-05-17,147.289993,147.460007,146.240005,146.410004,136.926651,3875600
2017-05-18,146.410004,147.240005,145.809998,147.009995,137.487762,2730900
2017-05-19,147.250000,148.830002,146.839996,148.149994,138.553925,4071200
2017-05-22,148.300003,148.880005,147.929993,148.190002,138.591339,3294500
2017-05-23,148.220001,148.529999,147.649994,147.820007,138.245331,3262300
2017-05-24,147.940002,149.990005,147.000000,149.500000,139.816467,3348900
2017-05-25,149.809998,149.949997,149.270004,149.779999,140.078354,3408100
2017-05-26,149.869995,150.240005,149.250000,149.860001,140.153152,3258200
2017-05-30,149.949997,150.330002,149.520004,149.929993,140.218643,3113900
2017-05-31,150.119995,151.149994,149.600006,150.889999,141.116425,6415700
2017-06-01,150.789993,152.389999,150.350006,152.389999,143.412704,4349800
2017-06-02,152.520004,153.899994,152.149994,153.740005,144.683197,4316700
2017-06-05,153.630005,153.660004,152.759995,152.789993,143.789139,2633700
2017-06-06,152.369995,152.589996,151.210007,151.229996,142.321045,3661900
2017-06-07,151.229996,152.009995,150.729996,151.940002,142.989212,2922900
2017-06-08,151.940002,152.149994,151.009995,151.429993,142.509262,3709900
2017-06-09,151.880005,152.000000,150.899994,151.479996,142.556305,4143100
2017-06-12,151.479996,151.479996,148.039993,148.470001,139.723633,5902600
2017-06-13,148.860001,150.250000,148.619995,149.820007,140.994141,4267700
2017-06-14,150.320007,151.080002,149.910004,150.679993,141.803452,2675500
2017-06-15,149.899994,151.520004,149.649994,151.169998,142.264587,2517500
2017-06-16,150.979996,152.889999,150.919998,151.990005,143.036255,5443900
2017-06-19,152.389999,153.179993,151.839996,153.139999,144.118546,3263800
2017-06-20,154.270004,155.279999,153.839996,154.070007,144.993729,3614400
2017-06-21,154.179993,154.419998,153.610001,153.729996,144.673767,2448500
2017-06-22,153.779999,154.910004,153.679993,154.800003,145.680740,2003800
2017-06-23,155.000000,155.449997,154.429993,154.639999,145.530197,2214700
2017-06-26,155.179993,155.460007,153.520004,153.960007,144.890213,2360900
2017-06-27,154.000000,154.820007,153.460007,153.720001,144.664383,2139000
2017-06-28,154.039993,154.679993,153.740005,154.300003,145.210220,1302800
2017-06-29,154.580002,154.580002,152.149994,153.130005,144.109146,1975900
2017-06-30,153.300003,153.770004,152.720001,153.160004,144.137344,2508200
2017-07-03,153.440002,153.869995,152.479996,152.500000,143.516251,1100700
2017-07-05,152.820007,153.570007,151.990005,153.070007,144.052658,2497300
2017-07-06,152.699997,153.460007,152.330002,153.089996,144.071472,2019800
2017-07-07,153.369995,156.559998,153.149994,156.270004,147.064133,4117800
2017-07-10,156.279999,156.529999,155.160004,155.520004,146.358322,2402200
2017-07-11,155.089996,155.880005,154.009995,154.910004,145.784256,2008800
2017-07-12,155.410004,156.750000,155.270004,156.580002,147.355896,2094900
2017-07-13,156.490005,156.539993,154.339996,155.039993,145.906601,3169700
2017-07-14,154.990005,155.500000,154.729996,155.279999,146.132477,2440200
2017-07-17,155.429993,155.440002,154.699997,155.259995,146.113647,2408700
2017-07-18,155.000000,155.270004,153.369995,153.960007,144.890213,3890300
2017-07-19,154.130005,154.460007,153.479996,153.889999,144.824341,3072200
2017-07-20,154.029999,155.220001,153.550003,154.210007,145.125473,2240200
2017-07-21,154.059998,154.699997,153.289993,153.919998,144.852570,3522400
2017-07-24,154.000000,154.220001,151.770004,151.850006,142.904541,5307400
2017-07-25,157.750000,159.979996,156.539993,159.070007,149.699203,9511400
2017-07-26,158.759995,159.000000,155.679993,156.509995,147.290009,4679000
2017-07-27,156.419998,157.429993,155.539993,156.949997,147.704071,4624100
2017-07-28,156.360001,156.660004,155.070007,155.850006,146.668884,3964500
2017-07-31,155.919998,156.419998,154.850006,155.139999,146.000717,4272400
2017-08-01,154.979996,155.899994,153.710007,154.039993,144.965515,4185100
2017-08-02,153.759995,156.649994,153.710007,156.589996,147.365295,3326000
2017-08-03,156.559998,156.770004,154.410004,154.720001,145.605469,3666100
2017-08-04,154.610001,154.820007,153.229996,153.820007,144.758484,4435400
2017-08-07,154.139999,155.389999,154.000000,154.970001,145.840744,3252100
2017-08-08,154.669998,155.250000,154.100006,154.919998,145.793671,4234300
2017-08-09,155.300003,155.679993,154.350006,154.919998,145.793671,3006500
2017-08-10,154.330002,157.199997,154.250000,156.619995,147.393509,3874500
2017-08-11,156.880005,158.399994,156.630005,157.300003,148.033478,2925000
2017-08-14,157.449997,157.899994,156.460007,157.259995,147.995819,2809100
2017-08-15,157.839996,158.580002,157.339996,157.619995,148.334610,2160100
2017-08-16,157.889999,159.380005,157.600006,158.899994,149.539200,2921800
2017-08-17,158.750000,159.529999,157.809998,157.889999,148.588684,3071600
2017-08-18,157.990005,158.279999,157.020004,157.759995,148.466370,2595700
2017-08-21,158.169998,158.639999,157.539993,158.360001,149.031021,2195100
2017-08-22,158.500000,159.940002,158.389999,159.639999,150.235641,2122600
2017-08-23,159.300003,159.369995,158.380005,158.809998,149.454483,2190700
2017-08-24,159.110001,159.679993,158.330002,158.410004,149.078079,1634800
2017-08-25,158.889999,159.339996,158.529999,158.820007,149.463898,2019600
2017-08-28,159.039993,159.960007,158.660004,159.669998,150.263824,2027300
2017-08-29,159.199997,159.759995,158.729996,159.380005,149.990936,3283400
2017-08-30,158.399994,159.639999,158.320007,159.529999,151.022812,2236500
2017-08-31,159.770004,160.000000,159.350006,159.970001,151.439346,2717000
2017-09-01,159.869995,160.199997,159.500000,159.809998,151.287857,1878300
2017-09-05,159.000000,159.779999,158.070007,159.100006,150.615738,4000500
2017-09-06,159.229996,159.369995,158.220001,158.220001,149.782684,4143300
2017-09-07,158.470001,160.070007,158.330002,159.899994,151.373077,2965400
2017-09-08,159.529999,160.380005,159.179993,159.710007,151.193237,2984200
2017-09-11,160.000000,161.720001,159.919998,161.529999,152.916168,2333600
2017-09-12,160.210007,160.720001,155.770004,156.330002,147.993454,10324100
2017-09-13,156.740005,157.779999,156.000000,157.000000,148.627731,4705600
2017-09-14,157.000000,157.350006,156.050003,157.000000,148.627731,3109700
2017-09-15,157.789993,158.000000,156.880005,156.919998,148.551987,7425100
2017-09-18,157.720001,157.789993,156.350006,156.679993,148.324768,3831900
2017-09-19,157.270004,157.899994,156.330002,157.429993,149.034790,3554600
2017-09-20,157.899994,159.889999,157.759995,159.880005,151.354141,3641100
2017-09-21,159.869995,160.089996,158.509995,159.029999,150.549484,2503400
2017-09-22,158.880005,159.740005,158.559998,158.910004,150.435898,2442700
2017-09-25,158.470001,158.690002,156.100006,156.259995,147.927185,3661500
2017-09-26,156.250000,156.839996,153.270004,153.350006,145.172348,6420000
2017-09-27,153.509995,154.690002,153.440002,154.050003,145.835052,3915900
2017-09-28,156.160004,158.309998,155.479996,157.490005,149.091614,4210200
2017-09-29,157.509995,158.039993,156.119995,156.679993,148.324768,3670100
2017-10-02,156.000000,157.179993,155.800003,156.960007,148.589859,2407000
2017-10-03,156.750000,157.460007,156.360001,156.860001,148.495209,2188400
2017-10-04,156.830002,157.419998,156.649994,157.210007,148.826538,1823100
2017-10-05,157.300003,158.919998,157.300003,158.800003,150.331741,2796000
2017-10-06,158.580002,160.130005,158.580002,159.600006,151.089081,3548500
2017-10-09,159.610001,160.490005,159.500000,160.119995,151.581360,2120000
2017-10-10,159.690002,161.580002,159.589996,160.580002,152.016830,2909600
2017-10-11,160.899994,163.240005,160.580002,163.149994,154.449738,3572500
2017-10-12,162.990005,164.399994,162.770004,163.910004,155.169250,3023600
2017-10-13,164.449997,165.509995,164.080002,165.369995,156.551392,2957400
2017-10-16,165.440002,165.740005,164.440002,165.009995,156.210571,2132300
2017-10-17,164.919998,166.020004,164.750000,165.399994,156.579758,2379700
2017-10-18,165.289993,166.250000,163.889999,165.770004,156.930069,2798300
2017-10-19,165.820007,166.949997,164.919998,166.500000,157.621124,2478100
2017-10-20,167.229996,167.899994,165.500000,166.300003,157.431778,5577700
2017-10-23,166.100006,166.100006,163.089996,163.339996,154.629639,6214800
2017-10-24,165.259995,166.490005,163.589996,163.880005,155.140869,7855200
2017-10-25,163.410004,165.119995,163.000000,163.580002,154.856857,3716200
2017-10-26,164.139999,164.649994,163.750000,164.009995,155.263901,2934400
2017-10-27,164.089996,165.850006,163.770004,165.389999,156.570297,2298100
2017-10-30,165.000000,166.559998,164.669998,166.229996,157.365524,2051000
2017-10-31,166.250000,167.410004,166.130005,166.910004,158.009247,2873000
2017-11-01,165.720001,167.990005,165.570007,166.369995,157.498032,2186100
2017-11-02,166.990005,168.470001,166.500000,168.100006,159.135803,2291000
2017-11-03,168.000000,169.449997,167.600006,168.649994,159.656464,1959500
2017-11-06,168.899994,170.419998,168.600006,170.070007,161.000763,3087700
2017-11-07,170.100006,170.820007,169.520004,170.770004,161.663422,2506000
2017-11-08,170.169998,170.919998,169.449997,170.100006,161.029160,2605000
2017-11-09,168.720001,169.199997,166.100006,167.000000,158.094467,4219000
2017-11-10,166.399994,166.800003,163.520004,165.589996,156.759644,4226800
2017-11-13,165.470001,167.949997,165.080002,167.369995,158.444733,2605600
2017-11-14,166.839996,168.419998,166.570007,168.110001,159.145248,2180900
2017-11-15,167.690002,168.690002,167.149994,167.320007,158.397400,2019300
2017-11-16,167.679993,168.889999,167.529999,168.089996,159.126328,2293400
2017-11-17,167.539993,167.699997,166.160004,166.720001,157.829407,2221400
2017-11-20,167.330002,167.850006,166.759995,166.929993,158.028198,2442300
2017-11-21,167.550003,169.259995,167.509995,168.300003,159.325134,2653100
2017-11-22,169.270004,170.350006,168.669998,169.050003,160.035141,2719200
2017-11-24,168.880005,169.559998,168.820007,169.110001,160.091919,963200
2017-11-27,168.899994,169.179993,168.089996,168.960007,159.949951,2082400
2017-11-28,169.229996,171.380005,169.039993,171.339996,162.203003,2909900
2017-11-29,171.699997,172.020004,169.050003,170.429993,161.341537,4590300
2017-11-30,170.240005,173.169998,169.339996,171.970001,163.769943,6023700
2017-12-01,172.770004,173.149994,170.389999,172.869995,164.627045,4279200
2017-12-04,173.270004,173.479996,170.429993,170.649994,162.512894,3943100
2017-12-05,173.639999,174.250000,172.460007,172.990005,164.741333,3228700
2017-12-06,173.479996,174.440002,173.000000,173.479996,165.207932,2618700
2017-12-07,172.550003,173.289993,171.919998,172.910004,164.665131,2284800
2017-12-08,173.039993,173.539993,172.509995,173.149994,164.893692,2241100
2017-12-11,172.940002,173.250000,172.220001,173.250000,164.988922,2340800
2017-12-12,173.000000,173.199997,171.850006,172.229996,164.017548,2805900
2017-12-13,172.440002,173.960007,172.399994,173.550003,165.274597,2554000
2017-12-14,173.660004,174.080002,172.830002,173.139999,164.884171,2666900
2017-12-15,174.300003,175.089996,173.679993,174.059998,165.760300,7435200
2017-12-18,174.869995,175.779999,174.110001,174.199997,165.893646,2426300
2017-12-19,174.389999,174.899994,173.080002,173.389999,165.122238,3122500
2017-12-20,173.830002,173.880005,171.710007,172.169998,163.960403,2749400
2017-12-21,172.600006,172.750000,171.669998,171.850006,163.655685,2343300
2017-12-22,171.820007,172.039993,170.550003,171.419998,163.246185,3234100
2017-12-26,171.089996,171.639999,170.820007,171.289993,163.122375,1280200
2017-12-27,171.330002,172.740005,170.850006,172.669998,164.436569,1596800
2017-12-28,173.259995,173.550003,172.619995,173.100006,164.846085,1800100
2017-12-29,172.979996,172.979996,171.919998,172.119995,163.912796,2201800
2018-01-02,173.729996,174.479996,172.660004,173.220001,164.960342,3696900
2018-01-03,173.229996,173.639999,172.000000,172.490005,164.265152,3789600
2018-01-04,173.240005,174.130005,172.729996,173.699997,165.417465,2756400
2018-01-05,174.000000,175.000000,173.399994,174.050003,165.750778,3737700
2018-01-08,173.740005,174.210007,172.929993,173.929993,165.636490,2060800
2018-01-09,174.229996,174.229996,173.009995,173.539993,165.265076,2674300
2018-01-10,173.500000,174.000000,172.470001,173.509995,165.236496,2172500
2018-01-11,173.559998,174.550003,172.100006,173.389999,165.122238,3078000
2018-01-12,173.360001,173.789993,172.880005,173.570007,165.293671,2901600
2018-01-16,173.619995,174.410004,172.880005,173.679993,165.398422,3662600
2018-01-17,174.350006,175.690002,173.880005,174.979996,166.636444,4129600
2018-01-18,175.190002,175.449997,173.899994,174.570007,166.245972,2154800
2018-01-19,174.990005,176.639999,174.380005,176.119995,167.722092,3746300
2018-01-22,175.970001,176.830002,175.610001,176.210007,167.807785,3217900
2018-01-23,175.570007,177.750000,174.850006,176.809998,168.379181,3197600
2018-01-24,177.300003,177.300003,175.250000,176.119995,167.722092,2810800
2018-01-25,176.399994,176.619995,174.660004,175.660004,167.284027,2815800
2018-01-26,175.669998,178.399994,175.009995,178.360001,169.855286,3957700
2018-01-29,178.300003,178.699997,177.240005,177.770004,169.293411,6091900
2018-01-30,177.100006,177.669998,170.850006,172.479996,164.255646,9613000
2018-01-31,173.600006,174.300003,170.270004,171.139999,162.979538,7004200
2018-02-01,170.270004,173.539993,168.889999,171.899994,163.703293,4751300
2018-02-02,170.800003,172.729996,168.990005,169.380005,161.303452,4604500
2018-02-05,168.610001,169.460007,153.860001,163.850006,156.037140,7309300
2018-02-06,158.350006,166.050003,158.250000,165.179993,157.303726,7020000
2018-02-07,164.860001,168.259995,164.520004,165.710007,157.808456,4974000
2018-02-08,165.690002,165.729996,158.759995,158.970001,151.389847,5656000
2018-02-09,159.979996,161.979996,155.229996,160.800003,153.132568,7187100
2018-02-12,162.369995,165.889999,161.500000,163.899994,156.084747,5255900
2018-02-13,163.000000,163.830002,161.720001,162.399994,154.656296,5406000
2018-02-14,161.440002,162.020004,159.679993,159.990005,152.361191,5865600
2018-02-15,161.139999,161.520004,158.809998,160.779999,153.113510,5012100
2018-02-16,159.470001,159.899994,157.759995,157.789993,150.266098,7165800
2018-02-20,157.000000,159.160004,156.279999,157.160004,149.666168,5211100
2018-02-21,157.759995,161.320007,157.600006,158.639999,151.075562,7833400
2018-02-22,158.949997,161.399994,158.899994,160.660004,152.999252,4398200
2018-02-23,161.440002,163.309998,161.440002,163.059998,155.284805,4272400
2018-02-26,164.000000,164.750000,162.300003,163.580002,155.780029,4525200
2018-02-27,164.190002,164.500000,160.639999,160.660004,152.999252,4907500
2018-02-28,160.429993,161.210007,157.720001,157.740005,151.168823,6116800
2018-03-01,157.800003,160.429993,155.210007,155.699997,149.213821,5609000
2018-03-02,148.910004,150.449997,146.839996,148.270004,142.093323,11754300
2018-03-05,148.279999,151.479996,147.919998,151.029999,144.738342,6397800
2018-03-06,151.250000,151.710007,150.130005,151.199997,144.901276,5015400
2018-03-07,149.860001,152.740005,149.679993,152.380005,146.032104,4492000
2018-03-08,152.729996,154.610001,152.649994,154.440002,148.006317,4291400
2018-03-09,155.619995,157.729996,154.839996,157.240005,150.689667,5076500
2018-03-12,157.740005,159.449997,157.509995,157.740005,151.168823,4461500
2018-03-13,158.559998,159.889999,158.210007,158.220001,151.628845,4333100
2018-03-14,159.000000,159.509995,157.240005,158.240005,151.647995,3879000
2018-03-15,158.710007,162.149994,158.589996,161.610001,154.877609,5925700
2018-03-16,161.880005,163.229996,161.580002,162.360001,155.596375,14293800
2018-03-19,162.000000,162.360001,158.210007,159.009995,152.385910,4307600
2018-03-20,159.750000,160.669998,159.250000,159.380005,152.740509,3105100
2018-03-21,160.000000,160.410004,158.289993,158.660004,152.050507,3871900
2018-03-22,157.850006,159.119995,156.850006,157.039993,150.497971,3669400
2018-03-23,157.589996,157.779999,154.919998,154.979996,148.523804,3447400
2018-03-26,156.210007,158.199997,156.210007,158.009995,151.427551,3477000
2018-03-27,158.500000,159.770004,156.470001,157.479996,150.919632,3519100
2018-03-28,157.839996,159.759995,157.820007,158.410004,151.810898,3913200
2018-03-29,159.000000,159.830002,156.380005,156.380005,149.865463,5289500
2018-04-02,158.270004,160.160004,155.250000,157.720001,151.149658,6960100
2018-04-03,157.979996,160.529999,157.300003,160.399994,153.718018,4719400
2018-04-04,158.500000,162.149994,157.880005,161.729996,154.992584,4888000
2018-04-05,162.399994,164.559998,161.750000,163.949997,157.120117,4503900
2018-04-06,162.419998,163.779999,160.910004,161.250000,154.532608,4321900
2018-04-09,162.220001,163.570007,161.059998,161.229996,154.513412,3581500
2018-04-10,162.830002,163.960007,162.050003,162.770004,155.989288,3902600
2018-04-11,162.500000,164.059998,162.279999,163.339996,156.535522,2711100
2018-04-12,163.589996,165.399994,161.539993,161.619995,154.887192,5178900
2018-04-13,162.160004,163.160004,161.259995,161.729996,154.992584,2452800
2018-04-16,161.300003,162.440002,160.860001,161.630005,154.896790,3115200
2018-04-17,162.389999,163.479996,162.059998,162.550003,155.778442,2861900
2018-04-18,162.589996,163.309998,161.740005,161.809998,155.069260,2503100
2018-04-19,161.610001,162.100006,158.779999,159.529999,152.884247,3276600
2018-04-20,159.330002,160.729996,158.509995,158.770004,152.155899,3961200
2018-04-23,158.970001,159.690002,158.149994,158.990005,152.366760,3051900
2018-04-24,159.750000,159.830002,156.759995,157.320007,150.766312,2904400
2018-04-25,157.089996,157.339996,155.009995,155.940002,149.443817,3710200
2018-04-26,156.460007,159.460007,155.649994,158.899994,152.280502,3680600
2018-04-27,159.479996,159.850006,158.210007,158.300003,151.705475,4141500
2018-04-30,164.690002,167.949997,163.750000,167.440002,160.464752,12954700
2018-05-01,166.380005,166.500000,162.100006,163.440002,156.631378,6560100
2018-05-02,162.149994,163.199997,160.440002,160.679993,153.986328,4318400
2018-05-03,160.600006,160.839996,159.080002,160.080002,153.411331,3450100
2018-05-04,159.949997,165.449997,159.899994,165.029999,158.155151,4283600
2018-05-07,166.770004,167.300003,164.649994,165.000000,158.126373,3379000
2018-05-08,164.440002,165.589996,163.750000,164.770004,157.905945,2808100
2018-05-09,165.000000,165.210007,163.050003,164.240005,157.398026,2762500
2018-05-10,164.449997,165.639999,164.309998,165.070007,158.193466,1675100
2018-05-11,165.000000,165.979996,164.850006,165.389999,158.500122,2258500
2018-05-14,165.649994,165.979996,164.320007,164.720001,157.858047,2537300
2018-05-15,164.270004,164.649994,162.330002,163.059998,156.267181,3471300
2018-05-16,163.240005,163.940002,161.740005,162.869995,156.085114,2522000
2018-05-17,162.630005,163.229996,160.729996,161.309998,154.590088,2975500
2018-05-18,161.679993,162.839996,160.550003,160.979996,154.273819,2318000
2018-05-21,161.779999,161.970001,160.610001,161.479996,154.753006,2424000
2018-05-22,162.059998,162.089996,159.160004,159.449997,152.807571,3224000
2018-05-23,159.699997,161.649994,159.160004,161.619995,154.887192,3835100
2018-05-24,161.110001,162.600006,160.440002,162.389999,155.625107,3378000
2018-05-25,162.440002,163.949997,162.100006,163.210007,156.410950,2582100
2018-05-29,162.429993,162.720001,160.210007,160.619995,153.928848,3197100
